id,name,sport_type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,selected_tag_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility,tags/0,tags/1,tags/2,tags/3
12799264454,Afternoon Run,Run,Run,Run,false,,,"Fri, 11/1/2024",1730468139,2024-11-01T18:35:39+0000,Fri,5.00,8061.35,miles,mi,49:18,2958,54:30,3270,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/J6TY6LH2BA4W7F2YB4E4KG4HL4BFZ75HL3IK6JQHO4FXCYXFT4DGEDWYVWB7CAS7FHV7PWCAH7DFJTCHRBQJDWXXDAPQXW65TCOQ====,true,,329,ft,100.2,,https://www.strava.com/activities/12799264454,https://www.strava.com/activities/12799264454?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 5.0 mile Run.,true,false,84,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
12777339347,Afternoon Walk,Walk,Walk,Walk,false,,,"Tue, 10/29/2024",1730222698,2024-10-29T22:24:58+0000,Tue,0.62,1010.74,miles,mi,13:14,794,13:50,830,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/IJMH2NWLY2PFIBKU7S72AOJUMZWBY4Q55UPJQ5L772OMXUI5YX7GCKIOYCCKJAQ5QE7SUE5H6K2OSSBQW6UXMIDT73LN7USHXLWA====,true,,64,ft,19.6,,https://www.strava.com/activities/12777339347,https://www.strava.com/activities/12777339347?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0.6 mile Walk.,true,false,4,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
12777125546,Afternoon Run,Run,Run,Run,false,,,"Tue, 10/29/2024",1730222058,2024-10-29T22:14:18+0000,Tue,1.00,1619.6,miles,mi,10:28,628,10:32,632,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/K45DWVGIRXAYHMAIEDYFRLWVPQQ2ULH7XMOAUDRVNT5WMLBVCFUZAPGP3WKWGW6OUVYJP6OFNKO6APBVTACZFIVSGAJIJSJTVM7A====,true,,33,ft,10.2,,https://www.strava.com/activities/12777125546,https://www.strava.com/activities/12777125546?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 1.0 mile Run.,true,false,29,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
12777125370,Afternoon Walk,Walk,Walk,Walk,false,,,"Tue, 10/29/2024",1730221733,2024-10-29T22:08:53+0000,Tue,0.26,432.89,miles,mi,5:17,317,5:17,317,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/3LDWVSIME46KGIUN7UXY4SGN2WYXAUYSKXRXFNZONVOK5CMYG4RZPCXLUEQRVO6AHSGIKNLZPMQAWIPJLBNYP7PFV2GJ4BLKK6YA====,true,,0,ft,0,,https://www.strava.com/activities/12777125370,https://www.strava.com/activities/12777125370?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0.2 mile Walk.,true,false,3,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
12777125276,Afternoon Run,Run,Run,Run,false,,,"Tue, 10/29/2024",1730221147,2024-10-29T21:59:07+0000,Tue,1.00,1624.15,miles,mi,8:34,514,9:33,573,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/XXTMSSK3E3TN4MGL22N5WB3GFOCJDISVUPHAIYEMRVRC4FUIQJCK6OKW3VEYXYDU3RJKR6NILXKHTKCY7JP26KHCPWM3ESKI5RMA====,true,,33,ft,10,,https://www.strava.com/activities/12777125276,https://www.strava.com/activities/12777125276?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 1.0 mile Run.,true,false,30,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
12777125232,Afternoon Walk,Walk,Walk,Walk,false,,,"Tue, 10/29/2024",1730220731,2024-10-29T21:52:11+0000,Tue,0.35,565.04,miles,mi,6:40,400,6:40,400,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/NEJDG6KS5AK75M5BFJUCKO7WWJQ4GMMGNLTRKW6A6FA6ZH34VATXMNWTOEDVOHBY4U5Q7KPNBSYJZ5REP5VT7JQTVZ4E5SRBLWNQ====,true,,35,ft,10.6,,https://www.strava.com/activities/12777125232,https://www.strava.com/activities/12777125232?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0.3 mile Walk.,true,false,4,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
12777125578,Afternoon Run,Run,Run,Run,false,,,"Tue, 10/29/2024",1730219621,2024-10-29T21:33:41+0000,Tue,2.00,3228.65,miles,mi,17:16,1036,18:19,1099,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/NADR6S65I73FFPZNVT6VSVHT6AOGWEEBPOYY7ACNB3U35GD34IJ5X2WDGROED56G5U66PXAGFPXHLTL4T2CUYWEBYFQZGB6LQEKA====,true,,85,ft,26,,https://www.strava.com/activities/12777125578,https://www.strava.com/activities/12777125578?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 2.0 mile Run.,true,false,36,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
12769556934,Evening Walk,Walk,Walk,Walk,false,,,"Mon, 10/28/2024",1730140996,2024-10-28T23:43:16+0000,Mon,0.47,763.09,miles,mi,10:46,646,13:48,828,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/TS2NM4YRIV46QK664QN6GNDQ2BQTLAL7JIQZKTSZRXGWRKEL2GB45AGQ5GZ3RSMMKETBXLWQA42BFJNLZNTMM3NNWE4BT6A7VAJA====,true,,62,ft,18.8,,https://www.strava.com/activities/12769556934,https://www.strava.com/activities/12769556934?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0.4 mile Walk.,true,false,2,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
12769313350,Evening Run,Run,Run,Run,false,,,"Mon, 10/28/2024",1730139095,2024-10-28T23:11:35+0000,Mon,3.00,4840.67,miles,mi,31:13,1873,31:32,1892,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/DMUK2VVJ4EG4EBGNRJDIJ4R4WL3HI6BYW2M2G235OLYKSFIZACIK62WWM6J2OHY5CXSYPQIFCINIMPKMSDJLQASRYOMUETNZT3ZQ====,true,,161,ft,49.2,,https://www.strava.com/activities/12769313350,https://www.strava.com/activities/12769313350?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 3.0 mile Run.,true,false,51,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11685018704,Evening Walk,Walk,Walk,Walk,false,,,"Tue, 6/18/2024",1718735297,2024-06-18T22:28:17+0000,Tue,0.55,887.63,miles,mi,10:34,634,10:34,634,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/IJLJOMEGTWGDAM2SORTJNWYK3OYHKQZUGK2XO5RRAYI2536RYYWDSWHXGJGUD7VU5ONXNNG35G3AF2J4THAB7GZP57EDITCHT6RA====,true,,79,ft,24.2,,https://www.strava.com/activities/11685018704,https://www.strava.com/activities/11685018704?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0.5 mile Walk.,true,false,11,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
11684941396,Afternoon Run,Run,Run,Run,false,,,"Tue, 6/18/2024",1718732471,2024-06-18T21:41:11+0000,Tue,4.02,6472.82,miles,mi,46:30,2790,46:44,2804,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/QN4F6CV2GUKDFZS5N6UFGM42KSZFYV7HQD6XIPUC5EQ7SXP2KVGZTIDEMI7I3T2SCMKS2CEE6I7EQPQOPBNBEXY53TTXD33OTQKQ====,true,,120,ft,36.6,,https://www.strava.com/activities/11684941396,https://www.strava.com/activities/11684941396?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 4.0 mile Run.,true,false,131,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11684941169,Evening Walk,Walk,Walk,Walk,false,,,"Mon, 6/17/2024",1718656119,2024-06-18T00:28:39+0000,Mon,0.72,1160.33,miles,mi,13:13,793,14:37,877,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/OMXVSBWEDVJTGGSDAKROVR53QYUGFFLC2L7NJQMLEVNR4WMNIV5XT6V3RQYEBIFSYAKU6FFOWCYYQ3M4EV5ZM7AY37JJCX6SPRLA====,true,,78,ft,23.8,,https://www.strava.com/activities/11684941169,https://www.strava.com/activities/11684941169?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0.7 mile Walk.,true,false,5,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
